Animal,Parent Class,Class,Sub-Class,Young,Generic name
Gryllus lineaticeps,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Guanaco,Mammal,Mammal,Alpaca / Camel,,
Guinea Pig,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Gull,Bird,Bird,Bird,,
Guppy,Fish,Fish,Fish,,
Guttural Toad,Amphibian,Amphibian,Frog / Toad,,
Gyalopion canum Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Habronattus clypeatus,Insect,Insect / Spider,Spider / Tarantula,,
Hairworm,Insect,Insect / Caterpillar / Worm,Worm,,
Hairworm Egg,Insect,Insect / Egg,Egg,,
Hairworm Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Hairy Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Halyomorpha halys,Insect,Insect,Stink bug,,
Hamadryas feronia Variable Cracker Butterfly,Insect,Insect,Butterfly / Moth,,
Hammerhead Shark,Fish,Fish / Large swimmer,Shark,,
Hartebeest,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Hartlaub's Duck,Bird,Bird,Water bird / Duck / Swan / Goose,,
Harvester Ant,Insect,Insect,Ant / Termite / Aphid,,
Hawfinch Bird,Bird,Bird,Bird,,
Hawk,Bird,Bird,Bird,,
Hawksbill Turtle,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Hazel Grouse Bird,Bird,Bird,Bird,,
Hedgehog,Mammal,Mammal,Echidna / Hedgehog,,
Helmeted Guineafowl,Bird,Bird,Chicken / Curassow / Turkey,,
Hermit Crab,Sea animal,Sea animal / Crab,Crab,,
Heron,Bird,Bird,Bird,,
Hippodamia convergens Ladybug,Insect,Insect,Ladybug,,
Hippopotamus,Mammal,Mammal,Hippopotamus,,
Hognosed pit Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Homalodisca vitripennis Sharpshooter,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Honey Bee,Insect,Insect,Bee / Wasp,,
Hoopoe,Bird,Bird,Bird,,
Hornbill,Bird,Bird,Bird,,
Horned Adder,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Horse,Mammal,Mammal,Horse,,
Horse Young,Mammal,Mammal,Horse,Yes,
Horseshoe Crab,Sea animal,Sea animal / Horseshoe crab,Horseshoe Crab,,
House Centipede,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,,
House Cricket,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Housefly,Insect,Insect,Fly,,
Hoverfly,Insect,Insect,Fly,,
Hoverfly Young,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Hummingbird,Bird,Bird,Bird,,
Hydroid,Sea animal,Sea animal / Jellyfish,Hydroid,,
Hyena,Mammal,Mammal,Hyena,,
Ibex,Mammal,Mammal,Goat / Sheep / Ibex,,
Ibis hagedash,Bird,Bird,Bird,,
Icterine Warbler Bird,Bird,Bird,Bird,,
Iguana,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Impala,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Indian Chameleon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Indian Walking Stick,Insect,Insect,Stick insect,,
Insect,Insect,Insect,Insect,,Yes
Ixos mcclellandii,Bird,Bird,Bird,,
Jack Snipe Bird,Bird,Bird,Bird,,
Jackal,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Jaculus jaculus,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Jaguarundi Cat,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Jameson's Mamba,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Javan Spitting Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Jellyfish,Sea animal,Sea animal / Jellyfish,Jellyfish / Ctenophore,,
Jentink's Duiker,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Jerusalam Cricket,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Jeweled Cockroach Wasp,Insect,Insect,Bee / Wasp,,
Johnston's Chameleon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Jumping Spider,Insect,Insect / Spider,Spider / Tarantula,,
Kangaroo,Mammal,Mammal,Kangaroo / Wallaby,,
Kangaroo Rat,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Kangaroo Young,Mammal,Mammal,Kangaroo / Wallaby,Yes,
Keeltail Needlefish,Fish,Fish,Fish,,
King Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
King Colobus,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Kingfisher,Bird,Bird,Bird,,
Kiwi,Bird,Bird,Bird,,
Koala,Mammal,Mammal,Koala,,
Komodo Dragon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Ladybug,Insect,Insect,Ladybug,,
Lampropeltis getula Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Lampropeltis pyromelana Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Lampropeltis splendida Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Lampropeltis zonata Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Lanius excubitor,Bird,Bird,Bird,,
Larus canus Bird,Bird,Bird,Bird,,
Larus ridibundus Bird,Bird,Bird,Bird,,
Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Laticauda saintgironsi Sea Krait,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Latrodectus hersperus Western Widow Spider,Insect,Insect / Spider,Spider / Tarantula,,
Leaf Insect,Insect,Insect,Leaf insect,,
Leaf-tailed Gecko,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Leafcutter Ant,Insect,Insect,Ant / Termite / Aphid,,
Leatherback Sea Turtle,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Leech,Insect,Insect / Caterpillar / Worm,Worm,,
Leopard,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Leopard Gecko,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Leopard Seal,Sea animal,Sea animal / Seal,Seal / Walrus,,
Lepidobatrachus laevis Frog,Amphibian,Amphibian,Frog / Toad,,
Lesser Mousedeer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Lesser Spot Nosed Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Lesser Sunda Pit Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Lichanura trivirgata Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Lightfoot Crab,Sea animal,Sea animal / Crab,Crab,,
Lion,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Lion Young,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,Yes,
Lionfish,Fish,Fish,Fish,,
Little Crake Bird,Bird,Bird,Bird,,
Little Egret,Bird,Bird,Bird,,
Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Lobster,Sea animal,Sea animal / Prawn,Prawn / Shrimp / Lobster,,
Long Horned Beetle,Insect,Insect,Beetle,,
Long Tail Scorpion,Insect,Insect,Scorpion,,
Long Tailed Macaque,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Long-toed Water Beetle,Insect,Insect,Beetle,,
Luscinia luscinia Nightingale Bird,Bird,Bird,Bird,,
Lynx,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Macaque,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Madagascar Hissing Cockroach,Insect,Insect,Cockroach,,
Madagascar Hissing Cockroach Mite,Insect,Insect,Mite / Tick,,
Malabar Pit Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Malayan Flying Fox,Mammal,Mammal,Flying fox / Colugo,,
Malayan Porcupine,Mammal,Mammal,Porcupine,,
Malayan Sun Bear,Mammal,Mammal,Bear,,
Malayan Tapir,Mammal,Mammal,Tapir,,
Malayan Water Monitor Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Mallard Duck,Bird,Bird,Water bird / Duck / Swan / Goose,,
Mandarin Duck,Bird,Bird,Water bird / Duck / Swan / Goose,,
Mandrill,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Manta Ray,Sea animal,Sea animal / Stingray,Stingray,,
Mantis,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Mantis Shrimp,Sea animal,Sea animal / Prawn,Prawn / Shrimp / Lobster,,
Many Horned Adder,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Marbled Cat,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Marbled Rubber Frog,Amphibian,Amphibian,Frog / Toad,,
Marine Iguana,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Markhor Goat,Mammal,Mammal,Goat / Sheep / Ibex,,
Maroon Macaque,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Marsh Frog,Amphibian,Amphibian,Frog / Toad,,
Marsh Harrier Bird,Bird,Bird,Bird,,
Marshbuck,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Maxwell's Duiker,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Mayfly,Insect,Insect,Dragonfly / Mayfly / Damselfly,,
Mayfly Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Meerkat,Mammal,Mammal,Meerkat,,
Megalorchestia californiana Beach Hopper,Insect,Insect,Flea,,
Melanosuchus niger Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Metlapilcoatlus mexicanus Jumping Pit Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Metrius Bombardier Beetle,Insect,Insect,Beetle,,
Micruroides euryxanthus Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Millipede,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,,
Mimic Blenny Fish,Fish,Fish,Fish,,
Mimic Poison Frog,Amphibian,Amphibian,Frog / Toad,,
Minke Whale,Fish,Fish / Large swimmer,Whale,,
Mistle Thrush,Bird,Bird,Bird,,
Mitred Leaf Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Mojave Rattlesnake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Mojave Rattlesnake Young,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,Yes,
Mongoose,Mammal,Mammal,Mongoose,,
Monitor Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Monkey Young,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,Yes,
Monster Frog,Amphibian,Amphibian,Frog / Toad,,
Montagu's Harrier,Bird,Bird,Bird,,
Montagu's Harrier Young,Bird,Bird,Bird,Yes,
Montpellier Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Moose,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Moray Eel,Fish,Fish,Eel,,
Morning Gecko,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Morpho Butterfly,Insect,Insect,Butterfly / Moth,,
Mosquito,Insect,Insect,Mosquito / Crane fly,,
Mosquito Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Moss Crab,Sea animal,Sea animal / Crab,Crab,,
Motacilla alba Bird,Bird,Bird,Bird,,
Motacilla flava,Bird,Bird,Bird,,
Moth,Insect,Insect,Butterfly / Moth,,
Mountain Gorilla,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Mountain Pygmy Possum,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Mountain Yellow-Legged Frog,Amphibian,Amphibian,Frog / Toad,,
Mouse,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Mouse Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Mozambique Spitting Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Mudskipper,Amphibian,Amphibian,Mudskipper,,
Mule Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Myna,Bird,Bird,Bird,,
Naja Nivea Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Namaqua Dwarf Adder,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Namaqua Dwarf Chameleon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Nasutitermes nigriceps Termite,Insect,Insect,Ant / Termite / Aphid,,
Natrix natrix Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Natrix tessellata Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Nautilus,Sea animal,Sea animal / Octopus,Nautilus,,
Nerillid worm,Insect,Insect / Caterpillar / Worm,Worm,,
Newt,Amphibian,Amphibian,Salamander / Newt,,
Newt Young,Amphibian,Amphibian,Salamander / Newt,Yes,
Nightingale Bird,Bird,Bird,Bird,,
Nilgai,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Nine Banded Armadillo,Mammal,Mammal,Armadillo,,
Northern Pacific Rattlesnake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Nose-Horned Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Nudibranch,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Numenius arquata Bird,Bird,Bird,Bird,,
Nursery Web Spider,Insect,Insect / Spider,Spider / Tarantula,,
Nuthatch Bird,Bird,Bird,Bird,,
Nymphidium sp. Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Ocelot,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Octopus,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Ocyropsis Ctenophore,Sea animal,Sea animal / Jellyfish,Jellyfish / Ctenophore,,
Olive Colobus,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Opossum,Mammal,Mammal,Possum / Oppossum,,
Orange Clownfish,Fish,Fish,Fish,,
Orangutan,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Orb Spider,Insect,Insect / Spider,Spider / Tarantula,,
Orb-Weaver Spider,Insect,Insect / Spider,Spider / Tarantula,,
Orca,Fish,Fish / Large swimmer,Dolphin / Orca,,
Oriental Pied Hornbill,Bird,Bird,Bird,,
Oriental Whip Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Osteolaemus osborni Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Ostrich,Bird,Bird,Bird,,
Otter,Mammal,Mammal,Otter,,
Owen's Chameleon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Owl,Bird,Bird,Bird,,
Pacman Frog,Amphibian,Amphibian,Frog / Toad,,
Paddlefish,Fish,Fish,Fish,,
Panda,Mammal,Mammal,Panda,,
Pangolin,Mammal,Mammal,Pangolin,,
Paradise Tree Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Parakeet,Bird,Bird,Bird,,
Parrot,Bird,Bird,Bird,,
Peacock,Bird,Bird,Bird,,
Peacock Mantis Shrimp,Sea animal,Sea animal / Prawn,Prawn / Shrimp / Lobster,,
Pelican,Bird,Bird,Bird,,
Penguin,Bird,Bird / Penguin,Penguin,,
Perch Fish,Fish,Fish,Fish,,
Phalacrocorax carbo Bird,Bird,Bird,Bird,,
Philomachus pugnax Ruff Bird,Bird,Bird,Bird,,
Phyllium giganteum,Insect,Insect,Leaf insect,,
Pig-Tailed Macaque,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Pigeon,Bird,Bird,Bird,,
Pika,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Pike Perch Fish,Fish,Fish,Fish,,
Pill Bug,Insect,Insect,Pillbug / Sandhopper / Sand flea,,
Pink Skunk Clownfish,Fish,Fish,Fish,,
Pipevine Swallowtail Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Piranha,Fish,Fish,Fish,,
Pistol Shrimp,Sea animal,Sea animal / Prawn,Prawn / Shrimp / Lobster,,
Pit Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Pituophis catenifer Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Planarian schmidtea Mediterranea Flatworm,Insect,Insect / Caterpillar / Worm,Worm,,
Plantain Squirrel,Mammal,Mammal,Squirrel,,
Platypus,Mammal,Mammal,Platypus,,
Polar Bear,Mammal,Mammal,Bear,,
Polyergus mexicanus,Insect,Insect,Ant / Termite / Aphid,,
Porcupine,Mammal,Mammal,Porcupine,,
Portia Jumping Spider,Insect,Insect / Spider,Spider / Tarantula,,
Portugese Man O'War,Sea animal,Sea animal / Jellyfish,Jellyfish / Ctenophore,,
Postman Butterfly,Insect,Insect,Butterfly / Moth,,
Postman Butterfly Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Prawn,Sea animal,Sea animal / Prawn,Prawn / Shrimp / Lobster,,
Praying Mantis,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Predaceous Diving Beetle,Insect,Insect,Beetle,,
Prevost's Squirrel,Mammal,Mammal,Squirrel,,
Proboscis Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Promecognathus crassus Beetle,Insect,Insect,Beetle,,
Puff Adder,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Pufferfish,Fish,Fish,Fish,,
Puffin,Bird,Bird,Water bird / Duck / Swan / Goose,,
Puma,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Pygmy Hippopotamus,Sea animal,Sea animal / Sea urchin,Sea urchin,,
Pygmy Owl,Bird,Bird,Bird,,
Pygmy Seahorse,Sea animal,Sea animal / Sea horse,Sea horse,,
Python,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Quail,Bird,Bird,Bird,,
Quokka,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Rabbit,Mammal,Mammal,Hare / Rabbit,,
Racoon,Mammal,Mammal,Racoon,,
Raffles Banded Langur,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Rain Frog,Amphibian,Amphibian,Frog / Toad,,
Rat,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Rat Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Rattlesnake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Raven,Bird,Bird,Bird,,
Red Ant,Insect,Insect,Ant / Termite / Aphid,,
Red Bellied Black Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Red Crossbill,Bird,Bird,Bird,,
Red Panda,Mammal,Mammal,Racoon,,
Red River Hog,Mammal,Mammal,Pig / Boar / Hog,,
Red Ruffed Lemur,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Red Spitting Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Red-Backed Shrike Bird,Bird,Bird,Bird,,
Red-Backed Shrike Bird Young,Bird,Bird,Bird,Yes,
Red-Blacked Squirrel Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Red-Eyed Tree Frog,Amphibian,Amphibian,Frog / Toad,,
Red-Ruffed Lemur,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Red-Throated Pipit,Bird,Bird,Bird,,
Redback Spider,Insect,Insect / Spider,Spider / Tarantula,,
Reed Bunting Bird,Bird,Bird,Bird,,
Reef Octopus,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Reindeer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Remiz pendulinus Bird,Bird,Bird,Bird,,
Reticulated Python,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Rhacodactylus trachyrhynchus Gecko,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Rhamnophis aethiopissa Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Rhesus Macaque,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Rhincodon typus,Fish,Fish / Large swimmer,Shark,,
Rhinoceros,Mammal,Mammal,Rhinoceros,,
Rhinoceros Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Rhinoceros Young,Mammal,Mammal,Rhinoceros,Yes,
Ring-Tailed Lemur,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Rinkhals Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Robin Bird,Bird,Bird,Bird,,
Rockfish,Fish,Fish,Fish,,
Roe Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Rooster,Bird,Bird,Chicken / Curassow / Turkey,,
Rose-Breasted Cockatoo,Bird,Bird,Bird,,
Round Face Bat Fish,Fish,Fish,Fish,,
Royal Grammas Fish,Fish,Fish,Fish,,
Russell's Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Saddleback Galapagos Tortoise,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Sagittarius Serpentarius Bird,Bird,Bird,Bird,,
Salamander,Amphibian,Amphibian,Salamander / Newt,,
Salmon,Fish,Fish,Fish,,
Salticidae Jumping Spider,Insect,Insect / Spider,Spider / Tarantula,,
Saltwater Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Sambar Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Sand Bubbler Crab,Sea animal,Sea animal / Crab,Crab,,
Sand Frog,Amphibian,Amphibian,Frog / Toad,,
Sand Hopper,Insect,Insect,Pillbug / Sandhopper / Sand flea,,
Sardine,Fish,Fish,Fish,,
Savi's Warbler Bird,Bird,Bird,Bird,,
Sawfish,Fish,Fish,Fish,,
Scallop,Sea animal,Sea animal / Shellfish,Shellfish / Abalone / Clam / Mussel / Scallop,,
Scorpion,Insect,Insect,Scorpion,,
Scutigera coleoptera House Centipede,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,,
Sea Bird,Bird,Bird,Bird,,
Sea Cockroach,Insect,Insect,Cockroach,,
Sea Cucumber,Sea animal,Sea animal / Sea cucumber,Sea cucumber,,
Sea Goldies,Fish,Fish,Fish,,
Sea Lion,Sea animal,Sea animal / Seal,Seal / Walrus,,
Sea Otter,Mammal,Mammal,Otter,,
Sea Slug,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Sea Snail,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Sea Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Sea Spider,Insect,Insect / Spider,Spider / Tarantula,,
Sea Toad Fish,Fish,Fish,Fish,,
Sea Turtle,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Sea Urchin,Sea animal,Sea animal / Sea urchin,Sea urchin,,
Seagull,Bird,Bird,Bird,,
Seahorse,Sea animal,Sea animal / Sea horse,Sea horse,,
Seal,Sea animal,Sea animal / Seal,Seal / Walrus,,
Sedge Warbler Bird,Bird,Bird,Bird,,
Sergeant Major Fish,Fish,Fish,Fish,,
Serow,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Seven Banded Civet,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Shark,Fish,Fish / Large swimmer,Shark,,
Shearwater Bird,Bird,Bird,Bird,,
Shield Bug,Insect,Insect,Stink bug,,
Shoebill Bird,Bird,Bird,Bird,,
Shorebird,Bird,Bird,Bird,,
Short-Clawed Otter,Mammal,Mammal,Otter,,
Shrimp,Sea animal,Sea animal / Prawn,Prawn / Shrimp / Lobster,,
Siamese Fighting Fish,Fish,Fish,Fish,,
Side Blotched Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Sidewinder Rattlesnake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Singing Nightingale,Bird,Bird,Bird,,
Skate,Sea animal,Sea animal / Stingray,Stingray,,
Skink,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Skylark,Bird,Bird,Bird,,
Slender Hognosed Pit Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Slender-snouted Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Sloth,Mammal,Mammal,Sloth,,
Sloth Bear,Mammal,Mammal,Bear,,
Slow Loris,Mammal,Mammal,Loris,,
Smew,Bird,Bird,Water bird / Duck / Swan / Goose,,
Smooth-Coated Otter,Mammal,Mammal,Otter,,
Snail,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Snouted Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Snow Leopard,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Socotra Cormorant,Bird,Bird,Bird,,
Song Thrush Bird,Bird,Bird,Bird,,
Sooty Mangabey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Southern Grasshopper Mouse,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Sparrow,Bird,Bird,Bird,,
Sparrowhawk,Bird,Bird,Bird,,
Spectacled Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Spider,Insect,Insect / Spider,Spider / Tarantula,,
Spider Crab,Sea animal,Sea animal / Crab,Crab,,
Spiny Flower Mantis,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Spotted Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Spotted Whistling Duck,Bird,Bird,Water bird / Duck / Swan / Goose,,
Spotted Wood Owl,Bird,Bird,Bird,,
Squid,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Squirrel,Mammal,Mammal,Squirrel,,
