S/N,video_id,type,labels,list_animal_action,list_animal,list_animal_parent_class
5170,FMBMQZTV,train,52,"[('Common Crane', 'Flying')]",['Common Crane'],['Bird']
5171,FMCSUIFB,train,68,"[('Mimic Poison Frog', 'Keeping still')]",['Mimic Poison Frog'],['Amphibian']
5172,FMCTVMCW,train,40,"[('Red-Throated Pipit', 'Eating')]",['Red-Throated Pipit'],['Bird']
5173,FMCZVXDO,train,"29,42,51,8","[('Lion', 'Biting'), ('Lion', 'Fleeing'), ('Zebra', 'Doing A Back Kick'), ('Zebra', 'Fleeing'), ('Zebra', 'Escaping')]","['Lion', 'Lion', 'Zebra', 'Zebra', 'Zebra']",['Mammal']
5174,FMDCGHAQ,train,"102,90","[('Montagu''s Harrier Young', 'Preening'), ('Montagu''s Harrier Young', 'Sensing')]",['['],['Bird']
5175,FMDWBLOI,train,15,"[('Skylark', 'Chirping')]",['Skylark'],['Bird']
5176,FMEGBPIF,train,"68,69","[('Bird', 'Landing'), ('Shoebill Bird', 'Keeping still')]","['Bird', 'Shoebill Bird']",['Bird']
5177,FMFAGKRV,train,"102,15","[('Cuckoo Bird', 'Sensing')]",['Cuckoo Bird'],['Bird']
5178,FMHCVUIV,train,48,"[('Common Goldeneye', 'Flapping')]",['Common Goldeneye'],['Bird']
5179,FMHGTAEM,train,40,"[('Lanius Excubitor', 'Eating')]",['Lanius Excubitor'],['Bird']
5180,FMIKUIQR,train,"1,51","[('Mongoose', 'Fleeing'), ('Black Mamba', 'Attacking')]","['Mongoose', 'Black Mamba']","['Reptile', 'Mammal']"
5181,FMIXDHAQ,train,"2,102,15","[('Montagu''s Harrier', 'Attending'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier', 'Sensing'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier', 'Chirping'), ('Montagu''s Harrier', 'Chirping'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier Young', 'Attending'), ('Montagu''s Harrier', 'Sensing')]","['[', '[', '[', '[', '[']",['Bird']
5182,FMIXRZXQ,train,"48,102,15","[('Common Chiffchaff Bird', 'Chirping')]",['Common Chiffchaff Bird'],['Bird']
5183,FMJJBSEB,train,15,"[('Common Rosefinch Bird', 'Chirping')]",['Common Rosefinch Bird'],['Bird']
5184,FMJZSLDC,train,78,"[('Lampropeltis Pyromelana Snake', 'Moving')]",['Lampropeltis Pyromelana Snake'],['Reptile']
5185,FMKWLVEI,train,"48,2,69,32,133","[('Tringa Glareola Bird', 'Attending'), ('Tringa Glareola Bird', 'Walking'), ('Tringa Glareola Bird', 'Landing'), ('Tringa Glareola Bird', 'Flapping'), ('Tringa Glareola Bird', 'Doing A Face Dip')]","['Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird']",['Bird']
5186,FMMGGPTK,train,"68,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
5187,FMNCVMWW,train,68,"[('Luscinia Luscinia Nightingale Bird', 'Keeping still')]",['Luscinia Luscinia Nightingale Bird'],['Bird']
5188,FMOXGTHG,train,"65,133,12,67","[('Western Chimpanzee Young', 'Carrying'), ('Western Chimpanzee', 'Walking'), ('Western Chimpanzee Young', 'Jumping'), ('Western Chimpanzee', 'Carrying'), ('Western Chimpanzee Young', 'Walking')]","['Western Chimpanzee Young', 'Western Chimpanzee', 'Western Chimpanzee Young', 'Western Chimpanzee', 'Western Chimpanzee Young']",['Mammal']
5189,FMPABZYO,train,"117,45","[('Stork', 'Standing in alert'), ('Black Stork', 'Exploring')]","['Stork', 'Black Stork']",['Bird']
5190,FMQJZBQT,train,"68,40","[('Greater Mouse Deer', 'Keeping still'), ('Greater Mouse Deer', 'Eating')]","['Greater Mouse Deer', 'Greater Mouse Deer']",['Mammal']
5191,FMQRLWUH,train,"2,48","[('Bird', 'Flapping'), ('Bird', 'Attending')]","['Bird', 'Bird']",['Bird']
5192,FMQVIKDQ,train,52,"[('Great Egret', 'Flying')]",['Great Egret'],['Bird']
5193,FMQWLJKU,train,133,"[('Eagle', 'Walking')]",['Eagle'],['Bird']
5194,FMTZTPTK,train,"104,68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Shaking Head')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
5195,FMVKLPLS,train,"68,133,102","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Sensing'), ('Grey Heron', 'Sensing'), ('Ardea Alba Egret', 'Walking')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Grey Heron', 'Ardea Alba Egret']",['Bird']
5196,FMVLWPTK,train,15,"[('Singing Nightingale', 'Chirping')]",['Singing Nightingale'],['Bird']
5197,FMWAGHGA,train,102,"[('Sagittarius Serpentarius Bird', 'Sensing')]",['Sagittarius Serpentarius Bird'],['Bird']
5198,FMWDWDQX,train,52,"[('Remiz Pendulinus Bird', 'Flying')]",['Remiz Pendulinus Bird'],['Bird']
5199,FMWHSXTD,train,78,"[('Cryptic Mantis', 'Moving')]",['Cryptic Mantis'],['Insect']
5200,FMXNSDAL,train,"104,123,5,40,13","[('Frog', 'Carrying In Mouth'), ('Grey Heron', 'Being Carried In Mouth'), ('Grey Heron', 'Shaking Head'), ('Mallard Duck', 'Carrying In Mouth'), ('Grey Heron', 'Eating'), ('Frog', 'Being Carried In Mouth'), ('Grey Heron', 'Carrying In Mouth'), ('Frog', 'Swimming'), ('Frog', 'Eating'), ('Mallard Duck', 'Swimming')]","['Frog', 'Grey Heron', 'Grey Heron', 'Mallard Duck', 'Grey Heron', 'Frog', 'Grey Heron', 'Frog', 'Frog', 'Mallard Duck']","['Amphibian', 'Bird']"
5201,FMXPHLHH,train,"29,67,47","[('Water Lily Frog', 'Jumping'), ('Water Lily Frog', 'Fighting'), ('Water Lily Frog', 'Doing A Back Kick')]","['Water Lily Frog', 'Water Lily Frog', 'Water Lily Frog']",['Amphibian']
5202,FMYEVVMW,train,68,"[('Russell''s Viper', 'Keeping still')]",['['],['Reptile']
5203,FMYGCNPL,train,"49,15","[('Red-Backed Shrike Bird', 'Flapping Tail')]",['Red-Backed Shrike Bird'],['Bird']
5204,FMYVCONO,train,102,"[('Wood Warbler', 'Sensing')]",['Wood Warbler'],['Bird']
5205,FMZZREUL,train,68,"[('Mozambique Spitting Cobra', 'Keeping still')]",['Mozambique Spitting Cobra'],['Reptile']
5206,FNASJMVW,train,"2,68,15","[('Eurasian Wren Bird', 'Keeping still'), ('Eurasian Wren Bird', 'Attending'), ('Eurasian Wren Bird', 'Chirping')]","['Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird']",['Bird']
5207,FNBAOYTZ,train,15,"[('Greylag Goose', 'Chirping')]",['Greylag Goose'],['Bird']
5208,FNCMWVEI,train,"45,68,40,133,22","[('Calidris Minuta Bird', 'Walking'), ('Egret', 'Exploring'), ('Grey Heron', 'Eating')]","['Calidris Minuta Bird', 'Egret', 'Grey Heron']",['Bird']
5209,FNETOKOU,train,"102,15","[('Yellowhammer', 'Chirping'), ('Yellowhammer', 'Sensing')]","['Yellowhammer', 'Yellowhammer']",['Bird']
5210,FNHGPUDX,train,52,"[('Socotra Cormorant', 'Flying')]",['Socotra Cormorant'],['Bird']
5211,FNHGXZON,train,50,"[('Elephant', 'Flapping its ears')]",['Elephant'],['Mammal']
5212,FNHKHBGG,train,103,"[('Citrine Wagtail', 'Shaking')]",['Citrine Wagtail'],['Bird']
5213,FNHMJUXR,train,"40,78","[('Sand Bubbler Crab', 'Eating')]",['Sand Bubbler Crab'],['Sea animal']
5214,FNIRPLDC,train,78,"[('Lampropeltis Zonata Snake', 'Moving')]",['Lampropeltis Zonata Snake'],['Reptile']
5215,FNISAOIP,train,68,"[('Hoverfly Young', 'Keeping still'), ('Aphid', 'Keeping still')]","['Hoverfly Young', 'Aphid']",['Insect']
5216,FNJJVFJO,train,78,"[('Frog', 'Moving')]",['Frog'],['Amphibian']
5217,FNJWQXYT,train,"116,90","[('Raven', 'Preening'), ('Raven', 'Standing')]","['Raven', 'Raven']",['Bird']
5218,FNKEOXMC,train,"80,102","[('Woodpecker', 'Sensing'), ('Woodpecker', 'Pecking')]","['Woodpecker', 'Woodpecker']",['Bird']
5219,FNLZYZQJ,train,52,"[('Bird', 'Flying')]",['Bird'],['Bird']
5220,FNNNHHSA,train,"52,69,102","[('Chaffinch Bird', 'Landing'), ('Common Cuckoo Bird', 'Flying'), ('Chaffinch Bird', 'Flying'), ('Common Cuckoo Bird', 'Sensing'), ('Chaffinch Bird', 'Sensing')]","['Chaffinch Bird', 'Common Cuckoo Bird', 'Chaffinch Bird', 'Common Cuckoo Bird', 'Chaffinch Bird']",['Bird']
5221,FNNVSVMP,train,"108,133","[('Fox', 'Walking'), ('Fox', 'Sitting')]","['Fox', 'Fox']",['Mammal']
5222,FNOZCXEC,train,"81,68,19","[('Habronattus Clypeatus', 'Keeping still'), ('Habronattus Clypeatus', 'Dancing')]","['Habronattus Clypeatus', 'Habronattus Clypeatus']",['Insect']
5223,FNPLQCNX,train,133,"[('Wolf', 'Walking')]",['Wolf'],['Mammal']
5224,FNRAWHBS,train,"102,15","[('Common Chiffchaff Bird', 'Chirping'), ('Common Chiffchaff Bird', 'Sensing')]","['Common Chiffchaff Bird', 'Common Chiffchaff Bird']",['Bird']
5225,FNRDNUDX,train,51,"[('Gazelle', 'Fleeing')]",['Gazelle'],['Mammal']
5226,FNRIDXGD,train,"2,68","[('Horse', 'Keeping still'), ('Horse', 'Attending')]","['Horse', 'Horse']",['Mammal']
5227,FNRZUNQN,train,"2,68,103,15","[('European Robin Bird', 'Attending'), ('European Robin Bird', 'Shaking'), ('European Robin Bird', 'Keeping still'), ('European Robin Bird', 'Chirping')]","['European Robin Bird', 'European Robin Bird', 'European Robin Bird', 'European Robin Bird']",['Bird']
5228,FNSLWXSF,train,"102,15","[('Great Grey Shrike Young', 'Chirping'), ('Great Grey Shrike Young', 'Sensing')]","['Great Grey Shrike Young', 'Great Grey Shrike Young']",['Bird']
5229,FNTFALHH,train,"68,92","[('Frog', 'Keeping still')]",['Frog'],['Amphibian']
5230,FNVLOGBP,train,68,"[('Madagascar Hissing Cockroach Mite', 'Keeping still')]",['Madagascar Hissing Cockroach Mite'],['Insect']
5231,FNWHTTKX,train,"40,52","[('Bullfinch', 'Flying'), ('Bullfinch', 'Eating')]","['Bullfinch', 'Bullfinch']",['Bird']
5232,FNXBDMHZ,train,18,"[('Zamenis Longissiumus Snake', 'Competing For Dominance')]",['Zamenis Longissiumus Snake'],['Reptile']
5233,FNYAERAC,train,"48,102,100","[('Great Curassow', 'Flapping'), ('Great Curassow', 'Sensing'), ('Great Curassow', 'Running')]","['Great Curassow', 'Great Curassow', 'Great Curassow']",['Bird']
5234,FNYKADAL,train,"104,68","[('Grey Heron', 'Shaking Head'), ('Grey Heron', 'Keeping still')]","['Grey Heron', 'Grey Heron']",['Bird']
5235,FNYMPLHH,train,"40,67","[('Sand Frog', 'Jumping')]",['Sand Frog'],['Amphibian']
5236,FNYWVUPH,train,"123,102","[('Sterlet Fish', 'Swimming'), ('Sterlet Fish', 'Sensing')]","['Sterlet Fish', 'Sterlet Fish']",['Fish']
5237,FOAMDSEB,train,102,"[('Common Rosefinch Bird', 'Sensing')]",['Common Rosefinch Bird'],['Bird']
5238,FOAPSBQT,train,102,"[('Black Bearded Draco', 'Sensing')]",['Black Bearded Draco'],['Reptile']
5239,FOBALFPE,train,78,"[('Walking Stick', 'Moving')]",['Walking Stick'],['Insect']
5240,FOBVGSEB,train,"102,15","[('Common Rosefinch Bird', 'Chirping'), ('Common Rosefinch Bird', 'Sensing')]","['Common Rosefinch Bird', 'Common Rosefinch Bird']",['Bird']
5241,FOCSQPLS,train,"52,90,2,15,68,40","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Chirping'), ('Ardea Alba Egret', 'Attending'), ('Ardea Alba Egret', 'Preening'), ('Ardea Alba Egret', 'Flying'), ('Ardea Alba Egret', 'Eating')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
5242,FODMDNQN,train,102,"[('Thrush Nightingale Bird', 'Sensing')]",['Thrush Nightingale Bird'],['Bird']
5243,FODOCSOB,train,68,"[('Eastern Montpellier Snake', 'Keeping still')]",['Eastern Montpellier Snake'],['Reptile']
5244,FODWUGHE,train,71,"[('Tortoise', 'Laying Eggs')]",['Tortoise'],['Reptile']
5245,FOEBBWUH,train,48,"[('Bird', 'Flapping')]",['Bird'],['Bird']
5246,FOEZKMVW,train,"102,90,2,15,132,68","[('Eurasian Wren Bird', 'Chirping'), ('Eurasian Wren Bird', 'Sensing'), ('Eurasian Wren Bird', 'Keeping still'), ('Eurasian Wren Bird', 'Attending'), ('Eurasian Wren Bird', 'Preening'), ('Eurasian Wren Bird', 'Urinating')]","['Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird']",['Bird']
5247,FOFAMKOU,train,"102,15","[('Yellowhammer Young', 'Chirping'), ('Yellowhammer', 'Sensing')]","['Yellowhammer Young', 'Yellowhammer']",['Bird']
5248,FOFQVPKK,train,"68,133","[('Black-Winged Stilt', 'Walking'), ('Black-Winged Stilt', 'Keeping still')]","['Black-Winged Stilt', 'Black-Winged Stilt']",['Bird']
5249,FOFTVHGA,train,"133,78,97","[('Naja Nivea Snake', 'Moving'), ('Meerkat', 'Walking'), ('Meerkat', 'Retreating')]","['Naja Nivea Snake', 'Meerkat', 'Meerkat']","['Reptile', 'Mammal']"
5250,FOFWVRAH,train,"2,15","[('Pygmy Owl', 'Chirping')]",['Pygmy Owl'],['Bird']
5251,FOGETXGD,train,52,"[('Wedge Tailed Eagle', 'Flying')]",['Wedge Tailed Eagle'],['Bird']
5252,FOGOMVEI,train,"104,102,2,15,68","[('Tringa Nebularia Bird', 'Chirping'), ('Tringa Nebularia Bird', 'Shaking Head'), ('Tringa Nebularia Bird', 'Keeping still'), ('Tringa Nebularia Bird', 'Attending'), ('Tringa Nebularia Bird', 'Sensing')]","['Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird']",['Bird']
5253,FOHWYNPL,train,"76,102","[('Grey Langur', 'Manipulating Object'), ('Grey Langur', 'Sensing')]","['Grey Langur', 'Grey Langur']",['Mammal']
5254,FOJGCYTZ,train,"104,68,90","[('Greylag Goose', 'Preening'), ('Greylag Goose', 'Shaking Head'), ('Greylag Goose', 'Keeping still')]","['Greylag Goose', 'Greylag Goose', 'Greylag Goose']",['Bird']
5255,FOJQWKOU,train,"105,102,110,133,69,15,40,67","[('Yellowhammer Young', 'Sleeping in its nest'), ('Yellowhammer', 'Eating'), ('Yellowhammer', 'Jumping'), ('Yellowhammer Young', 'Eating'), ('Yellowhammer', 'Sleeping in its nest'), ('Yellowhammer Young', 'Chirping'), ('Yellowhammer', 'Sensing'), ('Yellowhammer', 'Chirping'), ('Yellowhammer Young', 'Sensing'), ('Yellowhammer', 'Sharing Food'), ('Yellowhammer', 'Landing'), ('Yellowhammer', 'Walking')]","['Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer']",['Bird']
5256,FOJRNLHH,train,"68,92","[('Frog', 'Keeping still')]",['Frog'],['Amphibian']
5257,FOKEWQTX,train,"2,68","[('Turdus Merula Blackbird', 'Keeping still'), ('Turdus Merula Blackbird', 'Attending')]","['Turdus Merula Blackbird', 'Turdus Merula Blackbird']",['Bird']
5258,FOKVZPTK,train,"2,104,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Shaking Head')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
5259,FOLADHVR,train,"68,133","[('Rat', 'Walking'), ('Gaboon Viper', 'Keeping still')]","['Rat', 'Gaboon Viper']","['Reptile', 'Mammal']"
5260,FOLFSSOM,train,"52,101","[('Mallard Duck', 'Flying'), ('Mallard Duck', 'Running On Water')]","['Mallard Duck', 'Mallard Duck']",['Bird']
5261,FOLJVFNJ,train,133,"[('Iguana', 'Walking')]",['Iguana'],['Reptile']
5262,FOLKHPLS,train,"104,52,102,90,2,69,68,133","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Attending'), ('Ardea Alba Egret', 'Walking'), ('Ardea Alba Egret', 'Landing'), ('Ardea Alba Egret', 'Preening'), ('Ardea Alba Egret', 'Flying'), ('Ardea Alba Egret', 'Shaking Head'), ('Ardea Alba Egret', 'Sensing')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
5263,FOMULLDC,train,78,"[('Pituophis Catenifer Snake', 'Moving')]",['Pituophis Catenifer Snake'],['Reptile']
5264,FONBVFGA,train,52,"[('Bird', 'Flying')]",['Bird'],['Bird']
5265,FONDGHGA,train,"2,68,78,102","[('Naja Nivea Snake', 'Moving'), ('Meerkat', 'Attending'), ('Meerkat', 'Keeping still'), ('Meerkat', 'Sensing')]","['Naja Nivea Snake', 'Meerkat', 'Meerkat', 'Meerkat']","['Reptile', 'Mammal']"
5266,FONGYFUG,train,104,"[('Water Rail Bird', 'Shaking Head')]",['Water Rail Bird'],['Bird']
5267,FOOCUFYY,train,2,"[('Bird', 'Attending')]",['Bird'],['Bird']
5268,FOOTGNQN,train,"49,15","[('Reed Bunting Bird', 'Flapping Tail'), ('Reed Bunting Bird', 'Chirping')]","['Reed Bunting Bird', 'Reed Bunting Bird']",['Bird']
5269,FOPVGUPH,train,40,"[('Nuthatch Bird', 'Eating')]",['Nuthatch Bird'],['Bird']
5270,FOSBENPL,train,"106,73,102","[('Lion', 'Sensing'), ('Lion', 'Licking')]","['Lion', 'Lion']",['Mammal']
5271,FOSJIIWV,train,104,"[('Whooper Swan', 'Shaking Head')]",['Whooper Swan'],['Bird']
5272,FOSNLWUH,train,48,"[('Bird', 'Flapping')]",['Bird'],['Bird']
5273,FOSYAVMP,train,15,"[('Bird', 'Chirping')]",['Bird'],['Bird']
5274,FOTUJDFS,train,78,"[('Wild Red-Tailed Boa', 'Moving')]",['Wild Red-Tailed Boa'],['Reptile']
5275,FOUUYRAC,train,"102,116","[('Red-Blacked Squirrel Monkey', 'Standing'), ('Red-Blacked Squirrel Monkey', 'Sensing')]","['Red-Blacked Squirrel Monkey', 'Red-Blacked Squirrel Monkey']",['Mammal']
5276,FOVKQAMC,train,133,"[('Lion Young', 'Walking'), ('Lion', 'Walking')]","['Lion Young', 'Lion']",['Mammal']
5277,FOWBDDAL,train,"104,123,102,2,69,68,40","[('Mallard Duck', 'Shaking Head'), ('Mallard Duck', 'Keeping still'), ('Mallard Duck', 'Sensing'), ('Grey Heron', 'Keeping still'), ('Grey Heron', 'Attending'), ('Grey Heron', 'Sensing'), ('Duck', 'Eating'), ('Grey Heron', 'Landing'), ('Mallard Duck', 'Swimming')]","['Mallard Duck', 'Mallard Duck', 'Mallard Duck', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Duck', 'Grey Heron', 'Mallard Duck']",['Bird']
5278,FOXUQJKU,train,"114,102","[('Eagle', 'Sensing')]",['Eagle'],['Bird']
5279,FOXYBVJP,train,78,"[('Diving Bell Water Spider', 'Moving')]",['Diving Bell Water Spider'],['Insect']
5280,FOYKRDAL,train,68,"[('Grey Heron', 'Keeping still')]",['Grey Heron'],['Bird']
5281,FOYTIPTK,train,"68,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
5282,FOZUZSOB,train,78,"[('Eastern Montpellier Snake', 'Moving')]",['Eastern Montpellier Snake'],['Reptile']
5283,FPAKEHIS,train,78,"[('Nymphidium Sp. Caterpillar', 'Moving')]",['Nymphidium Sp. Caterpillar'],['Insect']
5284,FPBCHBQT,train,40,"[('Asian Glossy Starling Bird', 'Eating')]",['Asian Glossy Starling Bird'],['Bird']
5285,FPBUQEZZ,train,68,"[('Nilgai', 'Keeping still')]",['Nilgai'],['Mammal']
5286,FPCIZRAC,train,"133,102,67","[('Great Curassow', 'Sensing'), ('Great Curassow', 'Jumping'), ('Great Curassow', 'Walking')]","['Great Curassow', 'Great Curassow', 'Great Curassow']",['Bird']
5287,FPDCSXDO,train,47,"[('Tiger', 'Fighting'), ('Lion', 'Fighting')]","['Tiger', 'Lion']",['Mammal']
5288,FPENFWBO,train,"48,40","[('Golden Eagle', 'Eating')]",['Golden Eagle'],['Bird']
5289,FPFJBONO,train,"102,15","[('Wood Warbler', 'Chirping'), ('Wood Warbler', 'Sensing')]","['Wood Warbler', 'Wood Warbler']",['Bird']
5290,FPGEFYES,train,78,"[('Bushmaster Snake', 'Moving')]",['Bushmaster Snake'],['Reptile']
5291,FPGXNACP,train,"120,78","[('Fly', 'Struggling'), ('Araneus Diadematus Spider', 'Moving')]","['Fly', 'Araneus Diadematus Spider']",['Insect']
5292,FPHHPNMW,train,102,"[('Aedes Aegypti Mosquito', 'Sensing')]",['Aedes Aegypti Mosquito'],['Insect']
5293,FPIDUGQD,train,68,"[('Frog', 'Keeping still')]",['Frog'],['Amphibian']
5294,FPIESVEI,train,"68,33","[('Charadrius Dubius Bird', 'Doing A Neck Raise'), ('Charadrius Dubius Bird', 'Keeping still')]","['Charadrius Dubius Bird', 'Charadrius Dubius Bird']",['Bird']
5295,FPIMDPIF,train,"1,26","[('Polar Bear', 'Displaying Defensive Pose'), ('Walrus', 'Attacking')]","['Polar Bear', 'Walrus']","['Mammal', 'Sea animal']"
5296,FPJGCVMP,train,102,"[('Seal', 'Sensing')]",['Seal'],['Sea animal']
5297,FPKEVJYD,train,"96,1","[('Acyrthosiphon Pisum Aphid', 'Retaliating'), ('Aphidius Ervi Parasitoid Wasp', 'Attacking')]","['Acyrthosiphon Pisum Aphid', 'Aphidius Ervi Parasitoid Wasp']",['Insect']
5298,FPLKZPIF,train,"52,123,102","[('Bird', 'Flying'), ('Walrus', 'Swimming'), ('Walrus', 'Sensing')]","['Bird', 'Walrus', 'Walrus']","['Bird', 'Sea animal']"
5299,FPLXRZQJ,train,"2,109","[('Owl', 'Sleeping'), ('Owl', 'Attending')]","['Owl', 'Owl']",['Bird']
5300,FPMISSBA,train,102,"[('Bird', 'Sensing')]",['Bird'],['Bird']
5301,FPNXPPTK,train,"2,68,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Attending')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
5302,FPOGHQWI,train,"104,103","[('Garganey', 'Shaking Head')]",['Garganey'],['Bird']
5303,FPOHRXRE,train,"2,103","[('Great Egret', 'Attending'), ('Great Egret', 'Shaking')]","['Great Egret', 'Great Egret']",['Bird']
5304,FPPDUPIK,train,123,"[('Penguin', 'Swimming')]",['Penguin'],['Bird']
5305,FPQTLVKA,train,"2,102,15","[('Common Quail', 'Attending'), ('Common Quail', 'Chirping'), ('Common Quail', 'Sensing')]","['Common Quail', 'Common Quail', 'Common Quail']",['Bird']
5306,FPRFBDAL,train,104,"[('Grey Heron', 'Shaking Head')]",['Grey Heron'],['Bird']
5307,FPSKFTFT,train,"38,96,27","[('Flamingo', 'Retaliating'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking')]","['Flamingo', 'Flamingo', 'Flamingo']",['Bird']
5308,FPTHYRTZ,train,78,"[('Coral Mimic Snake', 'Moving')]",['Coral Mimic Snake'],['Reptile']
5309,FPTVLEUL,train,112,"[('Mozambique Spitting Cobra', 'Spitting Venom')]",['Mozambique Spitting Cobra'],['Reptile']
5310,FPTZDMRN,train,40,"[('Common Snipe', 'Eating')]",['Common Snipe'],['Bird']
5311,FPUKOLHH,train,"46,47","[('Frog', 'Falling'), ('Frog', 'Fighting')]","['Frog', 'Frog']",['Amphibian']
5312,FPVNGPKK,train,68,"[('Black-Winged Stilt', 'Keeping still')]",['Black-Winged Stilt'],['Bird']
5313,FPVQNFFP,train,102,"[('Mimic Blenny Fish', 'Sensing')]",['Mimic Blenny Fish'],['Fish']
5314,FPWPOPLS,train,"104,52,102,90,2,69,68,133","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Attending'), ('Ardea Alba Egret', 'Walking'), ('Ardea Alba Egret', 'Landing'), ('Ardea Alba Egret', 'Preening'), ('Ardea Alba Egret', 'Flying'), ('Ardea Alba Egret', 'Shaking Head'), ('Ardea Alba Egret', 'Sensing')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
5315,FPWUQIWV,train,"102,15","[('Whooper Swan', 'Chirping'), ('Whooper Swan', 'Sensing')]","['Whooper Swan', 'Whooper Swan']",['Bird']
5316,FPWUTNQN,train,"68,15","[('Thrush Nightingale Bird', 'Keeping still'), ('Thrush Nightingale Bird', 'Chirping')]","['Thrush Nightingale Bird', 'Thrush Nightingale Bird']",['Bird']
5317,FPXDDBQT,train,68,"[('Elegant Bronzeback Snake', 'Keeping still')]",['Elegant Bronzeback Snake'],['Reptile']
5318,FPYHLVEI,train,"133,90","[('Duck', 'Walking'), ('Gallinago Gallinago Bird', 'Walking'), ('Duck', 'Preening')]","['Duck', 'Gallinago Gallinago Bird', 'Duck']",['Bird']
5319,FPYMJUPH,train,"105,40,52,15","[('White Throated Dipper Bird', 'Sharing Food'), ('White Throated Dipper Bird', 'Chirping'), ('White Throated Dipper Bird', 'Flying'), ('White Throated Dipper Bird', 'Eating')]","['White Throated Dipper Bird', 'White Throated Dipper Bird', 'White Throated Dipper Bird', 'White Throated Dipper Bird']",['Bird']
5320,FPZBDWUH,train,"133,102","[('Bird', 'Sensing'), ('Bird', 'Walking')]","['Bird', 'Bird']",['Bird']
5321,FPZZHAEM,train,40,"[('Lanius Excubitor', 'Eating')]",['Lanius Excubitor'],['Bird']
5322,FQAFVPTK,train,"2,68,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Keeping still')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
5323,FQBHTIQR,train,"26,100","[('Black Mamba', 'Displaying Defensive Pose'), ('Mongoose', 'Running')]","['Black Mamba', 'Mongoose']","['Reptile', 'Mammal']"
5324,FQCRCUXR,train,58,"[('Sand Bubbler Crab', 'Grooming')]",['Sand Bubbler Crab'],['Sea animal']
5325,FQCXWHGA,train,"2,68,78,102","[('Meerkat', 'Attending'), ('Meerkat', 'Moving'), ('Meerkat', 'Keeping still'), ('Meerkat', 'Sensing')]","['Meerkat', 'Meerkat', 'Meerkat', 'Meerkat']",['Mammal']
